ncm,anuente,descricao,obrigatorio
01,MAPA,Animais vivos.,sim
01,DECEX,Animais vivos.,sim
02,MAPA,"Carnes e miudezas, comestíveis.",sim
02,DECEX,"Carnes e miudezas, comestíveis.",sim
03,DECEX,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos.",sim
03,MAPA,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos.",sim
04,DECEX,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.",sim
05,DECEX,"Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos.",sim
05,MAPA,"Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos.",sim
06,DECEX,Plantas vivas e produtos de floricultura.,sim
06,MAPA,Plantas vivas e produtos de floricultura.,sim
07,MAPA,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.",sim
07,DECEX,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.",sim
08,MAPA,Fruta; cascas de citros (citrinos*) e de melões.,sim
08,DECEX,Fruta; cascas de citros (citrinos*) e de melões.,sim
09,DECEX,"Café, chá, mate e especiarias.",sim
09,MAPA,"Café, chá, mate e especiarias.",sim
10,DECEX,Cereais.,sim
10,MAPA,Cereais.,sim
11,DECEX,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo.,sim
11,MAPA,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo.,sim
11,ANVISA,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo.,sim
12,DECEX,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens.",sim
13,DECEX,"Gomas, resinas e outros sucos e extratos vegetais.",sim
14,DECEX,"Matérias para entrançar e outros produtos de origem vegetal, não especificados nem compreendidos noutros Capítulos.",sim
14,MAPA,"Matérias para entrançar e outros produtos de origem vegetal, não especificados nem compreendidos noutros Capítulos.",sim
15,DECEX,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentícias elaboradas; ceras de origem animal ou vegetal.,sim
16,MAPA,"PREPARAÇÕES DE CARNE, PEIXES, CRUSTÁCEOS, MOLUSCOS, OUTROS INVERTEBRADOS AQUÁTICOS OU DE INSETOS.",sim
16,DECEX,"Preparações de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos.",sim
17,DECEX,Açúcares e produtos de confeitaria.,sim
17,ANVISA,Açúcares e produtos de confeitaria.,sim
18,DECEX,Cacau e suas preparações.,sim
18,MAPA,Cacau e suas preparações.,sim
19,DECEX,"Preparações à base de cereais, farinhas, amidos, féculas ou leite; produtos de pastelaria.",sim
19,ANVISA,"Preparações à base de cereais, farinhas, amidos, féculas ou leite; produtos de pastelaria.",sim
