ncm,ii_aliq
01012100,0
01012900,0
01013000,3.6
01019000,3.6
01022110,0
01022190,0
01022911,0
01022919,0
01022990,0
01023110,0
01023190,0
01023911,0
01023919,0
01023990,0
01029000,0
01031000,0
01039100,0
01039200,0
01041011,0
01041019,0
01041090,0
01042010,0
01042090,0
01051110,0
01051190,0
01051200,0
01051300,0
01051400,0
01051500,0
01059400,3.6
01059900,3.6
01061100,3.6
01061200,3.6
01061300,3.6
01061400,3.6
01061900,3.6
01062000,3.6
01063100,3.6
01063200,3.6
01063310,0
01063390,3.6
01063900,3.6
01064100,3.6
01064900,3.6
01069000,3.6
02011000,9
02012010,9
02012020,9
02012090,9
02013000,10.8
02021000,9
02022010,9
02022020,9
02022090,9
02023000,0
02031100,9
02031200,9
02031900,9
02032100,9
02032200,9
02032900,9
02041000,9
02042100,9
02042200,9
02042300,9
02043000,9
02044100,9
02044200,9
02044300,9
02045000,9
02050000,9
02061000,9
02062100,9
02062200,9
02062910,9
02062990,9
02063000,9
02064100,9
02064900,9
02068000,9
02069000,9
02071100,9
02071210,9
02071220,9
02071300,9
02072400,9
02072500,9
02072600,9
02072700,9
02074100,9
02074200,9
02074300,9
02074400,9
02074500,9
02075100,9
02075200,9
02075300,9
02075400,9
02075500,9
02076000,9
02081000,9
02083000,9
02084000,9
02085000,9
02086000,9
02089000,9
02091011,5.4
02091019,5.4
02091021,5.4
02091029,5.4
02099000,5.4
02101100,9
02101200,9
02101900,9
02102000,9
02109100,9
02109200,9
02109300,9
02109911,9
02109919,9
02109920,9
02109930,9
02109940,9
02109990,9
03011110,9
03011190,9
03011900,9
03019110,0
03019190,9
03019210,0
03019290,9
03019310,0
03019390,9
03019410,0
03019490,9
03019510,0
03019590,9
03019911,0
03019912,0
03019919,0
03019991,9
03019992,9
03019999,9
03021100,9
03021300,9
03021400,9
03021900,9
03022100,9
03022200,9
03022300,9
03022400,9
03022900,9
03023100,9
03023200,9
03023300,9
03023400,9
03023500,9
03023600,9
03023900,9
03024100,9
03024210,9
03024290,9
03024300,9
03024400,9
03024500,9
03024600,9
03024700,9
03024910,9
03024990,9
03025100,0
03025200,9
03025300,9
03025400,9
03025500,9
03025600,9
03025900,9
03027100,9
03027210,9
03027290,9
03027300,9
03027400,9
03027900,9
03028100,9
03028200,9
03028310,9
03028320,9
03028400,9
03028500,9
03028910,9
03028921,9
03028922,9
03028923,9
03028924,9
03028931,9
03028932,9
03028933,9
03028934,9
03028935,9
03028936,9
03028937,9
03028938,9
03028941,9
03028942,9
03028943,9
03028944,9
03028945,9
03028990,9
03029110,9
03029190,9
03029200,9
03029900,9
03031100,9
03031200,9
03031300,9
03031400,9
03031900,9
03032300,9
03032410,9
03032490,9
03032500,9
03032600,9
03032900,9
03033100,9
03033200,9
03033300,9
03033400,9
03033900,9
03034100,9
03034200,9
03034300,9
03034400,9
03034500,9
03034600,9
03034900,9
03035100,9
03035300,0
03035400,9
03035500,9
03035600,9
03035700,9
03035910,9
03035920,9
03035990,9
03036300,0
03036400,9
03036500,9
03036600,9
03036700,9
03036800,9
03036910,9
03036990,9
03038111,9
03038112,9
03038113,9
03038114,9
03038119,9
03038190,9
03038200,9
03038311,9
03038319,9
03038321,9
03038329,9
03038400,9
03038910,9
03038920,9
03038932,9
03038933,9
03038941,9
03038942,9
03038943,9
03038944,9
03038945,9
03038946,9
03038951,9
03038952,9
03038953,9
03038954,9
03038955,9
03038956,9
03038961,9
03038962,9
03038963,9
03038964,9
03038965,9
03038990,9
03039110,9
03039190,9
03039200,9
03039910,9
03039920,9
03039990,9
03043100,9
03043210,9
03043290,9
03043300,9
03043900,9
03044100,9
03044200,9
03044300,9
03044400,9
03044500,9
03044600,9
03044700,9
03044800,9
03044910,9
03044920,9
03044990,9
03045100,9
03045200,9
03045300,9
03045400,9
03045500,9
03045600,9
03045700,9
03045900,9
03046100,9
03046210,9
03046290,9
03046300,9
03046900,9
03047100,9
03047200,9
03047300,9
03047400,9
03047500,9
03047900,9
03048100,9
03048200,9
03048300,9
03048400,9
03048510,9
03048520,9
03048600,9
03048700,9
03048810,9
03048890,9
03048910,9
03048920,9
03048930,9
03048990,9
03049100,9
03049211,9
03049212,9
03049219,9
03049221,9
03049222,9
03049229,9
03049300,9
03049400,9
03049500,9
03049600,9
03049700,9
03049900,9
03052010,9
03052090,9
03053100,9
03053210,0
03053220,9
03053230,9
03053290,9
03053900,9
03054100,9
03054200,9
03054300,9
03054400,9
03054910,0
03054920,9
03054990,9
03055100,0
03055200,9
03055310,0
03055390,9
03055400,9
03055900,9
03056100,9
03056200,0
03056300,9
03056400,9
03056910,9
03056990,9
